NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
IFB Agro Industries Limited,9367111,6088680,65,3278431,0,0,0,,10/7/24 11:30,105072,8985140,1.17,,10/7/24 11:30
IFB Industries Limited,40518796,30373494,74.96,10145302,0,0,0,,10/7/24 11:30,773111,39889668,1.94,,10/7/24 11:30
IFCI Limited,2613591051,1874553816,71.72,739037235,0,0,0,,10/7/24 11:30,74891687,2605886811,2.87,,10/7/24 11:30
IG Petrochemicals Limited,30794850,21167142,68.74,9627708,0,0,0,,10/7/24 11:30,630853,30225096,2.09,,10/7/24 11:30
IIFL Finance Limited,424190971,105674667,24.91,318516304,0,0,0,,10/7/24 11:30,16244980,424002187,3.83,,10/7/24 11:30
IL&FS Engineering and Construction Company Limited,131121078,55400884,42.25,75720194,0,0,0,,10/7/24 11:30,1822791,128307848,1.42,,10/7/24 11:30
IL&FS Investment Managers Limited,314032740,158333152,50.42,155699588,158333152,100,50.42,,10/7/24 11:30,4361357,310315564,1.41,,10/7/24 11:30
IL&FS Transportation Networks Limited,328960027,240849000,73.22,88111027,236582632,98.23,71.92,,10/7/24 11:30,1302774,328955880,0.4,,10/7/24 11:30
IMP Powers Limited,8636563,1447207,16.76,7189356,1171751,80.97,13.57,,10/7/24 11:30,1440639,8600256,16.75,,10/7/24 11:30
INCREDIBLE INDUSTRIES LIMITED,46763750,35054800,74.96,11708950,23849513,68.03,51,,10/7/24 11:30,24022060,46763749,51.37,,10/7/24 11:30
IOL Chemicals and Pharmaceuticals Limited,58705502,28290077,48.19,30415425,0,0,0,,10/7/24 11:30,4267355,58233660,7.33,,10/7/24 11:30
IPCA Laboratories Limited,253704218,117467472,46.3,136236746,0,0,0,,10/7/24 11:30,1612447,252872224,0.64,,10/7/24 11:30
IRB Infrastructure Developers Limited,6039000000,1837055980,30.42,4201944020,1015302000,55.27,16.81,,10/7/24 11:30,173554243,6038999020,2.87,,10/7/24 11:30
ITC Limited,12484721471,5977419,0.05,12478744052,0,0,0,,10/7/24 11:30,161343527,11252973128,1.43,,10/7/24 11:30
ITD Cementation India Limited,171787584,80113180,46.64,91674404,0,0,0,,10/7/24 11:30,7468129,171391544,4.36,,10/7/24 11:30
ITI Limited,960886938,864798247,90,96088691,0,0,0,,10/7/24 11:30,4760190,960306244,0.5,,10/7/24 11:30
IVP Limited,10326263,7364316,71.32,2961947,0,0,0,,10/7/24 11:30,84104,10323821,0.81,,10/7/24 11:30
IVRCL Limited,782897692,42032166,5.37,740865526,42032166,100,5.37,,10/7/24 11:30,50435458,782689950,6.44,,10/7/24 11:30
IZMO Limited,14148043,4502194,31.82,9645849,0,0,0,,10/7/24 11:30,559185,13946773,4.01,,10/7/24 11:30
Igarashi Motors India Limited,31475048,23606288,75,7868760,0,0,0,,10/7/24 11:30,808430,31375203,2.58,,10/7/24 11:30
Imagicaaworld Entertainment Limited,542319391,401818576,74.09,140500815,0,0,0,,10/7/24 11:30,22354118,542318391,4.12,,10/7/24 11:30
Impex Ferro Tech Limited,87931604,60764846,69.1,27166758,60764846,100,69.1,,10/7/24 11:30,61058307,87175109,70.04,,10/7/24 11:30
Ind-Swift Laboratories Limited,59086860,24818783,42,34268077,0,0,0,,10/7/24 11:30,8226131,58944010,13.96,,10/7/24 11:30
Ind-Swift Limited,54164653,30103343,55.58,24061310,12888400,42.81,23.79,,10/7/24 11:30,292685,53477526,0.55,,10/7/24 11:30
Indbank Merchant Banking Services Limited,44378200,28773800,64.84,15604400,0,0,0,,10/7/24 11:30,862118,42610904,2.02,,10/7/24 11:30
India Glycols Limited,30961500,18891032,61.01,12070468,0,0,0,,10/7/24 11:30,2127229,30517638,6.97,,10/7/24 11:30
India Motor Parts and Accessories Limited,12480000,3833168,30.71,8646832,0,0,0,,10/7/24 11:30,87563,12012434,0.73,,10/7/24 11:30
India Nippon Electricals Limited,22621424,15919122,70.37,6702302,0,0,0,,10/7/24 11:30,657547,22451741,2.93,,10/7/24 11:30
Indian Bank,1346963981,994549600,73.84,352414381,0,0,0,,10/7/24 11:30,6439073,1345538142,0.48,,10/7/24 11:30
Indian Card Clothing Company Limited,5941120,4000166,67.33,1940954,0,0,0,,10/7/24 11:30,101124,5867244,1.72,,10/7/24 11:30
Indian Hume Pipe Company Limited,52681770,38109370,72.34,14572400,11694995,30.69,22.2,,10/7/24 11:30,12781517,52333590,24.42,,10/7/24 11:30
Indian Metals & Ferro Alloys Limited,53954106,31663712,58.69,22290394,0,0,0,,10/7/24 11:30,2049194,53779799,3.81,,10/7/24 11:30
Indian Oil Corporation Limited,14121238383,7272199767,51.5,6849038616,0,0,0,,10/7/24 11:30,137598509,14106918203,0.98,,10/7/24 11:30
Indian Overseas Bank,18902412256,18218326570,96.38,684085686,0,0,0,,10/7/24 11:30,54412108,18878067974,0.29,,10/7/24 11:30
Indian Terrain Fashions Limited,44291685,15164040,34.24,29127645,0,0,0,,10/7/24 11:30,1541796,44290565,3.48,,10/7/24 11:30
Indo Count Industries Limited,198054340,116346767,58.74,81707573,0,0,0,,10/7/24 11:30,9067918,196516126,4.61,,10/7/24 11:30
Indo Rama Synthetics (India) Limited,261113151,195420067,74.84,65693084,0,0,0,,10/7/24 11:30,3406798,260808137,1.31,,10/7/24 11:30
Indo Tech Transformers Limited,10620000,7965000,75,2655000,4686000,58.83,44.12,,10/7/24 11:30,4842403,10618299,45.6,,10/7/24 11:30
Indo Thai Securities Limited,10000000,7217897,72.18,2782103,0,0,0,,10/7/24 11:30,125323,10000000,1.25,,10/7/24 11:30
Indo-National Limited,7500000,4901366,65.35,2598634,,,,,10/7/24 11:30,205045,7438030,2.76,,10/7/24 11:30
Indoco Remedies Limited,92182205,54192104,58.79,37990101,0,0,0,,10/7/24 11:30,1266127,91741123,1.38,,10/7/24 11:30
Indosolar Limited,41603691,40000000,96.15,1603691,0,0,0,,10/7/24 11:30,141163743,372059929,37.94,,10/7/24 11:30
Indowind Energy Limited,107334780,54485823,50.76,52848957,0,0,0,,10/7/24 11:30,1139171,128770693,0.88,,10/7/24 11:30
Indraprastha Gas Limited,700000800,315000400,45,385000400,0,0,0,,10/7/24 11:30,4889285,664987982,0.74,,10/7/24 11:30
Indraprastha Medical Corporation Limited,91673000,46753000,51,44920000,0,0,0,,10/7/24 11:30,1638741,65874775,2.49,,10/7/24 11:30
Indus Fila Limited,19375156,8543957,44.1,10831199,70047,0.82,0.36,,10/7/24 11:30,70047,981156,7.14,,10/7/24 11:30
Indus Towers Limited,2694936950,1402624764,52.05,1292312186,82483058,5.88,3.06,,10/7/24 11:30,121497537,2638162037,4.61,,10/7/24 11:30
Indusind Bank Limited,778725005,178697474,22.95,600027531,53441870,29.91,6.86,,10/7/24 11:30,84742663,775887702,10.92,,10/7/24 11:30
Industrial Investment Trust Limited,22547550,12370837,54.87,10176713,0,0,0,,10/7/24 11:30,741410,22250360,3.33,,10/7/24 11:30
Infibeam Avenues Limited,2782002130,775466102,27.87,2006536028,0,0,0,,10/7/24 11:30,273410100,2780739730,9.83,,10/7/24 11:30
Info Edge (India) Limited,129384120,49226172,38.05,80157948,0,0,0,,10/7/24 11:30,420237,129581943,0.32,,10/7/24 11:30
Infomedia Press Limited,50194172,25442694,50.69,24751478,0,0,0,,10/7/24 11:30,489835,49812762,0.98,,10/7/24 11:30
Infosys Limited,4152028475,974262642,23.46,3177765833,0,0,0,,10/7/24 11:30,43245635,4148717103,1.04,,10/7/24 11:30
Ingersoll Rand (India) Limited,31568000,23676000,75,7892000,0,0,0,,10/7/24 11:30,1351921,31430013,4.3,,10/7/24 11:30
Inox Green Energy Services Limited,293606000,163608625,55.72,129997375,15800000,9.66,5.38,,10/7/24 11:30,28656346,322591503,8.88,,10/7/24 11:30
Inox Wind Limited,1303793984,629373552,48.27,674420432,7759000,1.23,0.6,,10/7/24 11:30,92912540,1303793984,7.13,,10/7/24 11:30
Insecticides (India) Limited,29597837,21357405,72.16,8240432,0,0,0,,10/7/24 11:30,573989,29097783,1.97,,10/7/24 11:30
Inspirisys Solutions Limited,39616873,27712125,69.95,11904748,0,0,0,,10/7/24 11:30,137775,39577636,0.35,,10/7/24 11:30
Integra Essentia Limited,914066006,190245692,20.81,723820314,0,0,0,,10/7/24 11:30,17213979,1066661490,1.61,,10/7/24 11:30
Intense Technologies Limited,23467449,4860485,20.71,18606964,0,0,0,,10/7/24 11:30,1724536,23345265,7.39,,10/7/24 11:30
Intrasoft Technologies Limited,16311678,7024297,43.06,9287381,0,0,0,,10/7/24 11:30,546266,16291653,3.35,,10/7/24 11:30
Inventure Growth & Securities Limited,840000000,221754390,26.4,618245610,0,0,0,,10/7/24 11:30,14839917,1050000000,1.41,,10/7/24 11:30
Iris Business Services Limited,19361162,7183020,37.1,12178142,0,0,0,,10/7/24 11:30,2021429,19576840,10.33,,10/7/24 11:30
J.Kumar Infraprojects Limited,75665506,35294867,46.65,40370639,8000000,22.67,10.57,,10/7/24 11:30,14310677,75665504,18.91,,10/7/24 11:30
JB Chemicals & Pharmaceuticals Limited,155213058,83464664,53.77,71748394,0,0,0,,10/7/24 11:30,1651471,154764318,1.07,,10/7/24 11:30
JBF Industries Limited,81871849,18756614,22.91,63115235,1800000,9.6,2.2,,10/7/24 11:30,4168273,81345899,5.12,,10/7/24 11:30
JBM Auto Limited,118247132,79854143,67.53,38392989,0,0,0,,10/7/24 11:30,3634594,118125933,3.08,,10/7/24 11:30
JHS Svendgaard Laboratories Limited,78396762,29581318,37.73,48815444,0,0,0,,10/7/24 11:30,2708233,78396556,3.45,,10/7/24 11:30
JIK Industries Limited,72640951,35635697,49.06,37005254,0,0,0,,10/7/24 11:30,361980,55504447,0.65,,10/7/24 11:30
JITF Infralogistics Limited,25703706,16199837,63.03,9503869,0,0,0,,10/7/24 11:30,494237,25597491,1.93,,10/7/24 11:30
JK Cement Limited,77268251,35313691,45.7,41954560,0,0,0,,10/7/24 11:30,842880,77068726,1.09,,10/7/24 11:30
JK Lakshmi Cement Limited,117670066,54525922,46.34,63144144,0,0,0,,10/7/24 11:30,3505041,117027103,3,,10/7/24 11:30
JK Paper Limited,169402344,84080211,49.63,85322133,0,0,0,,10/7/24 11:30,6590447,169070224,3.9,,10/7/24 11:30
JK Tyre & Industries Limited,260723629,138525055,53.13,122198574,0,0,0,,10/7/24 11:30,12499397,259994247,4.81,,10/7/24 11:30
JM Financial Limited,955739242,539333258,56.43,416405984,0,0,0,,10/7/24 11:30,37630653,954357957,3.94,,10/7/24 11:30
JSW Energy Limited,1747768451,1214836901,69.51,532931550,115792869,9.53,6.63,,10/7/24 11:30,123555283,1747768110,7.07,,10/7/24 11:30
JSW Holdings Limited,11099625,7360208,66.31,3739417,333702,4.53,3.01,,10/7/24 11:30,121760,10921118,1.11,,10/7/24 11:30
JSW Steel Limited,2445453966,1103990152,45.14,1341463814,166144295,15.05,6.79,,10/7/24 11:30,198588010,2435649857,8.15,,10/7/24 11:30
Jagran Prakashan Limited,217654272,150177478,69,67476794,0,0,0,,10/7/24 11:30,5294701,217653751,2.43,,10/7/24 11:30
Jagsonpal Pharmaceuticals Limited,26457111,18001914,68.04,8455197,0,0,0,,10/7/24 11:30,830870,26258736,3.16,,10/7/24 11:30
Jai Balaji Industries Limited,177450286,113304046,63.85,64146240,30782233,27.17,17.35,,10/7/24 11:30,32850068,182448075,18.01,,10/7/24 11:30
Jai Corp Limited,178449410,131682400,73.79,46767010,0,0,0,,10/7/24 11:30,7518328,175199604,4.29,,10/7/24 11:30
Jain Irrigation Systems Limited,667467561,176227640,26.4,491239921,102661600,58.26,15.38,,10/7/24 11:30,195993607,666161621,29.42,,10/7/24 11:30
Jain Irrigation Systems Limited,19294304,5859773,30.37,13434531,0,0,0,,10/7/24 11:30,601457,19190831,3.13,,10/7/24 11:30
Jain Studios Limited,28594682,17119654,59.87,11475028,15924000,93.02,55.69,,10/7/24 11:30,265095,4805372,5.52,,10/7/24 11:30
Jaiprakash Associates Limited,2454595640,742021050,30.23,1712574590,156750,0.02,0.01,,10/7/24 11:30,110544148,2440462110,4.53,,10/7/24 11:30
Jaiprakash Power Ventures Limited,6853458827,1644830118,24,5208628709,1302697997,79.2,19.01,,10/7/24 11:30,1614775560,6853451780,23.56,,10/7/24 11:30
Jamna Auto Industries Limited,398941385,199235434,49.94,199705951,3030000,1.52,0.76,,10/7/24 11:30,33656380,394928445,8.52,,10/7/24 11:30
Jash Engineering Limited,12512545,5461744,43.65,7050801,0,0,0,,10/7/24 11:30,521881,12321345,4.24,,10/7/24 11:30
Jay Bharat Maruti Limited,108250000,64243395,59.35,44006605,0,0,0,,10/7/24 11:30,1849948,107159396,1.73,,10/7/24 11:30
Jayant Agro Organics Limited,30000000,20137490,67.12,9862510,0,0,0,,10/7/24 11:30,626964,28545970,2.2,,10/7/24 11:30
Jayaswal Neco Industries Limited,970998244,514838934,53.02,456159310,514838934,100,53.02,,10/7/24 11:30,518922815,968504286,53.58,,10/7/24 11:30
Jaypee Infratech Limited,125000000,125000000,100,0,0,0,0,,10/7/24 11:30,722476918,1388928840,52.02,,10/7/24 11:30
Jayshree Tea & Industries Limited,28877488,14636034,50.68,14241454,0,0,0,,10/7/24 11:30,1378638,28676898,4.81,,10/7/24 11:30
Jet Airways (India) Limited,113597383,28386986,24.99,85210397,5895704,20.77,5.19,,10/7/24 11:30,6547935,113597234,5.76,,10/7/24 11:30
Jet Freight Logistics Limited,46403784,23626488,50.92,22777296,6180000,26.16,13.32,,10/7/24 11:30,7060913,46403784,15.22,,10/7/24 11:30
Jindal Cotex Limited,45003140,11720399,26.04,33282741,8896178,75.9,19.77,,10/7/24 11:30,14160712,45003115,31.47,,10/7/24 11:30
Jindal Drilling And Industries Limited,28981104,18621261,64.25,10359843,0,0,0,,10/7/24 11:30,1665908,28938119,5.76,,10/7/24 11:30
Jindal Photo Limited,10258326,7612143,74.2,2646183,0,0,0,,10/7/24 11:30,222751,10177105,2.19,,10/7/24 11:30
Jindal Poly Films Limited,43786413,32641089,74.55,11145324,0,0,0,,10/7/24 11:30,753502,43655781,1.73,,10/7/24 11:30
Jindal Poly Investment and Finance Company Limited,10511929,7844687,74.63,2667242,0,0,0,,10/7/24 11:30,470660,10447857,4.5,,10/7/24 11:30
Jindal Saw Limited,319754117,203820649,63.74,115933468,0,0,0,,10/7/24 11:30,8370791,318651667,2.63,,10/7/24 11:30
Jindal Stainless Limited,823434588,498061891,60.49,325372697,0,0,0,,10/7/24 11:30,6950242,820865961,0.85,,10/7/24 11:30
Jindal Steel & Power Limited,1020088097,632509553,62.01,387578544,80850256,12.78,7.93,,10/7/24 11:30,88149780,1014315096,8.69,,10/7/24 11:30
Jindal Worldwide Limited,200520400,120936145,60.31,79584255,10903829,9.02,5.44,,10/7/24 11:30,52787039,197790400,26.69,,10/7/24 11:30
Jocil Limited,8881150,4886500,55.02,3994650,0,0,0,,10/7/24 11:30,809391,8330723,9.72,,10/7/24 11:30
Johnson Controls - Hitachi Air Conditioning India Limited,27190884,20190529,74.25,7000355,6525812,32.32,24,,10/7/24 11:30,6995884,27005045,25.91,,10/7/24 11:30
Jtekt India Limited,254280483,190659997,74.98,63620486,0,0,0,,10/7/24 11:30,2679658,253539689,1.06,,10/7/24 11:30
Jubilant Foodworks Limited,659845200,279077081,42.29,380768119,13780000,4.94,2.09,,10/7/24 11:30,17098561,659844610,2.59,,10/7/24 11:30
Jubilant Industries Limited,15067101,11266637,74.78,3800464,0,0,0,,10/7/24 11:30,333540,15005560,2.22,,10/7/24 11:30
Jubilant Ingrevia Limited,159281139,83276408,52.28,76004731,2225000,2.67,1.4,,10/7/24 11:30,7152096,158814397,4.5,,10/7/24 11:30
Jubilant Pharmova Limited,159281139,81647458,51.26,77633681,0,0,0,,10/7/24 11:30,3700323,158866529,2.33,,10/7/24 11:30
Jumbo Bag Limited,8373700,3636797,43.43,4736903,0,0,0,,10/7/24 11:30,10694,2390496,0.45,,10/7/24 11:30
Jupiter Wagons Limited,412293625,289114536,70.12,123179089,0,0,0,,10/7/24 11:30,8476118,424498045,2,,10/7/24 11:30
Just Dial Limited,85040282,63082632,74.18,21957650,8791654,13.94,10.34,,10/7/24 11:30,1758457,85040282,2.07,,10/7/24 11:30
Jyothy Labs Limited,367208644,230934685,62.89,136273959,0,0,0,,10/7/24 11:30,1753745,366311149,0.48,,10/7/24 11:30
Jyoti Structures Limited,847348420,0,0,847348420,0,,0,,10/7/24 11:30,43610222,873893761,4.99,,10/7/24 11:30
K.M.Sugar Mills Limited,92000170,51991499,56.51,40008671,0,0,0,,10/7/24 11:30,1354025,91999140,1.47,,10/7/24 11:30
K.P.R. Mill Limited,341814000,252106116,73.76,89707884,0,0,0,,10/7/24 11:30,2692390,341813430,0.79,,10/7/24 11:30
KCP Limited,128921160,56661474,43.95,72259686,0,0,0,,10/7/24 11:30,8718223,126794142,6.88,,10/7/24 11:30
KCP Sugar and Industries Corporation Limited,113385050,46020366,40.59,67364684,0,0,0,,10/7/24 11:30,1963668,110864995,1.77,,10/7/24 11:30
KDDL Limited,12537117,6295271,50.21,6241846,0,0,0,,10/7/24 11:30,551683,12175412,4.53,,10/7/24 11:30
KEC International Limited,257088370,133369101,51.88,123719269,0,0,0,,10/7/24 11:30,1884138,264618135,0.71,,10/7/24 11:30
KEI Industries Limited,90241438,33460992,37.08,56780446,0,0,0,,10/7/24 11:30,1785156,90195567,1.98,,10/7/24 11:30
KNR Constructions Limited,281234600,137259146,48.81,143975454,0,0,0,,10/7/24 11:30,7515400,281231183,2.67,,10/7/24 11:30
KPI Green Energy Limited,60282608,32006518,53.09,28276090,14565116,45.51,24.16,,10/7/24 11:30,2982135,35453097,8.41,,10/7/24 11:30
KPIT Technologies Limited,274143808,111004764,40.49,163139044,0,0,0,,10/7/24 11:30,7825327,273487270,2.86,,10/7/24 11:30
KRBL Limited,228889892,137719754,60.17,91170138,0,0,0,,10/7/24 11:30,11660626,228813805,5.1,,10/7/24 11:30
KSK Energy Ventures Limited,423985774,108551071,25.6,315434703,96346490,88.76,22.72,,10/7/24 11:30,103212281,423965601,24.34,,10/7/24 11:30
KSS Limited,2135875070,0,0,2135875070,0,,0,,10/7/24 11:30,25685814,2079220570,1.24,,10/7/24 11:30
Kabra Extrusion Technik Limited,34972836,21066478,60.24,13906358,0,0,0,,10/7/24 11:30,983591,34817032,2.83,,10/7/24 11:30
Kajaria Ceramics Limited,159258300,75625231,47.49,83633069,0,0,0,,10/7/24 11:30,753969,158589827,0.48,,10/7/24 11:30
Kakatiya Cement Sugar & Industries Limited,7773858,4217225,54.25,3556633,0,0,0,,10/7/24 11:30,359260,7629959,4.71,,10/7/24 11:30
Kalpataru Projects International Limited,162446152,57243787,35.24,105202365,19209048,33.56,11.82,,10/7/24 11:30,16709380,162192717,10.3,,10/7/24 11:30
Kalyani Forge Limited,3638000,2135805,58.71,1502195,0,0,0,,10/7/24 11:30,15992,2934312,0.54,,10/7/24 11:30
Kalyani Investment Company Limited,4365306,3272851,74.97,1092455,0,0,0,,10/7/24 11:30,96260,4301838,2.24,,10/7/24 11:30
Kalyani Steels Limited,43653060,28244202,64.7,15408858,0,0,0,,10/7/24 11:30,762120,43449928,1.75,,10/7/24 11:30
Kamat Hotels (I) Limited,26532065,17033528,64.2,9498537,13862525,81.38,52.25,,10/7/24 11:30,7125884,26628415,26.76,,10/7/24 11:30
Kamdhenu Limited,27738300,15820980,57.04,11917320,0,0,0,,10/7/24 11:30,2566139,27738085,9.25,,10/7/24 11:30
Kanani Industries Limited,197868000,75762662,38.29,122105338,0,0,0,,10/7/24 11:30,1367563,197821800,0.69,,10/7/24 11:30
Kanoria Chemicals & Industries Limited,43693333,32506880,74.4,11186453,9612534,29.57,22,,10/7/24 11:30,10772009,43397435,24.82,,10/7/24 11:30
Kansai Nerolac Paints Limited,808379580,606203847,74.99,202175733,0,0,0,,10/7/24 11:30,3592484,806859405,0.45,,10/7/24 11:30
Kapston Services Limited,10144061,7391695,72.87,2752366,0,0,0,,10/7/24 11:30,3388,1153698,0.29,,10/7/24 11:30
Karma Energy Limited,11569918,8643046,74.7,2926872,0,0,0,,10/7/24 11:30,16452,11391948,0.14,,10/7/24 11:30
Karur Vysya Bank Limited,804678662,17273274,2.15,787405388,797784,4.62,0.1,,10/7/24 11:30,27540292,796740093,3.46,,10/7/24 11:30
Karuturi Global Limited,1497531526,366473963,24.47,1131057563,10000000,2.73,0.67,,10/7/24 11:30,24591804,1016478841,2.42,,10/7/24 11:30
Kaushalya Infrastructure Development Corporation Limited,346306,178061,51.42,168245,0,0,0,,10/7/24 11:30,2262,342218,0.66,,10/7/24 11:30
Kaveri Seed Company Limited,51439071,31424117,61.09,20014954,0,0,0,,10/7/24 11:30,695788,51439060,1.35,,10/7/24 11:30
Kavveri Telecom Products Limited,20124260,3045931,15.14,17078329,1050000,34.47,5.22,,10/7/24 11:30,957485,20053436,4.77,,10/7/24 11:30
Kellton Tech Solutions Limited,97401603,50332124,51.67,47069479,8400000,16.69,8.62,,10/7/24 11:30,14475733,96890603,14.94,,10/7/24 11:30
Kernex Microsystems (India) Limited,16759422,4884712,29.15,11874710,428297,8.77,2.56,,10/7/24 11:30,955341,16339970,5.85,,10/7/24 11:30
Kesoram Industries Limited,310663663,134650683,43.34,176012980,68817624,51.11,22.15,,10/7/24 11:30,85020839,310139169,27.41,,10/7/24 11:30
Kewal Kiran Clothing Limited,61625185,45760365,74.26,15864820,0,0,0,,10/7/24 11:30,1166855,61625006,1.89,,10/7/24 11:30
Keynote Financial Services Limited,7018339,3960368,56.43,3057971,0,0,0,,10/7/24 11:30,7331,6931042,0.11,,10/7/24 11:30
Khaitan (India) Limited,4750000,2861630,60.24,1888370,940000,32.85,19.79,,10/7/24 11:30,987982,4330600,22.81,,10/7/24 11:30
Khaitan Chemicals & Fertilizers Limited,96989200,72736169,74.99,24253031,0,0,0,,10/7/24 11:30,1906465,95963840,1.99,,10/7/24 11:30
Khandwala Securities Limited,15253805,7316890,47.97,7936915,1733321,23.69,11.36,,10/7/24 11:30,1773282,15136004,11.72,,10/7/24 11:30
Kilitch Drugs (India) Limited,16082319,11134173,69.23,4948146,0,0,0,,10/7/24 11:30,266649,15717697,1.7,,10/7/24 11:30
Kiri Industries Limited,51834211,13850486,26.72,37983725,59573,0.43,0.11,,10/7/24 11:30,4695339,51797156,9.06,,10/7/24 11:30
Kirloskar Brothers Limited,79408926,52371675,65.95,27037251,0,0,0,,10/7/24 11:30,900888,78227953,1.15,,10/7/24 11:30
Kirloskar Electric Company Limited,66414071,32882967,49.51,33531104,24886143,75.68,37.47,,10/7/24 11:30,27124843,63126923,42.97,,10/7/24 11:30
Kirloskar Industries Limited,9936896,7099624,71.45,2837272,0,0,0,,10/7/24 11:30,269139,9879512,2.72,,10/7/24 11:30
Kirloskar Oil Engines Limited,145058716,59739108,41.18,85319608,0,0,0,,10/7/24 11:30,2926363,142665974,2.05,,10/7/24 11:30
Kitex Garments Limited,66500000,37677462,56.66,28822538,0,0,0,,10/7/24 11:30,2972126,65760182,4.52,,10/7/24 11:30
Kohinoor Foods Limited,37071530,13965790,37.67,23105740,0,0,0,,10/7/24 11:30,714877,36667548,1.95,,10/7/24 11:30
Kokuyo Camlin Limited,100303806,75215950,74.99,25087856,0,0,0,,10/7/24 11:30,1060764,99483719,1.07,,10/7/24 11:30
Kolte - Patil Developers Limited,76004409,52783547,69.45,23220862,0,0,0,,10/7/24 11:30,2261430,76004402,2.98,,10/7/24 11:30
Kopran Limited,48210605,21449203,44.49,26761402,0,0,0,,10/7/24 11:30,3320564,47947907,6.93,,10/7/24 11:30
Kotak Mahindra Bank Limited,1987951298,514735396,25.89,1473215902,0,0,0,,10/7/24 11:30,18803389,1985164722,0.95,,10/7/24 11:30
Kothari Petrochemicals Limited,58846400,41772005,70.98,17074395,0,0,0,,10/7/24 11:30,1182742,57784146,2.05,,10/7/24 11:30
Kothari Products Limited,29843865,22380155,74.99,7463710,0,0,0,,10/7/24 11:30,284087,29747513,0.95,,10/7/24 11:30
